station_id,category,note
DESM_DEXX2790010,outlet,Basin-Auslass Rhein (Rees)
DESM_DEXX503050,outlet,Basin-Auslass Elbe (Wittenberge)
DESM_DEXX603080,outlet,Basin-Auslass Oder (Hohensaaten Finow)
DESM_DEXX10088003,outlet,Basin-Auslass Donau (Hofkirchen)
DESM_DEXX49100101,outlet,Basin-Auslass Weser (Intschede)
DESM_DEBY18003004,standalone,unterhalb Basin-Auslass: Inn muendet bei Passau unterhalb Donau/Hofkirchen
DESM_DEBY18606000,standalone,unterhalb Basin-Auslass: Salzach muendet bei Burghausen unterhalb Inn/Wasserburg
DESM_DEBB5827000,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEXX582670,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEXX3500015,standalone,"Meer: Ems, Nordsee direkt"
DESM_DEXX581591,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DEBY16607001,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2829100000100,standalone,"Maas: Rur, verlaesst Deutschland ohne weiteren Pegel"
DESM_DEBY17207508,standalone,unterhalb Basin-Auslass: Vils (Vilshofen) muendet unterhalb Donau/Hofkirchen
DESM_DEMV04907.1,standalone,"Meer: Uecker, Ostsee-Kuestensystem (Stettiner Haff)"
DESM_DEMV04803.5,standalone,"Meer: Tollense, muendet in die ungegaugte Peene (Ostsee)"
DESM_DEXX586280,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
DESM_DENW2869500000200,standalone,"Maas: Niers, verlaesst Deutschland ohne weiteren Pegel"
DESM_DEBY14608003,nested,"verschachtelt, siehe docs/topologie-report.md Kategorie (iii)"
