run,metric,trend,p_value,sens_slope
main,index_days,increasing,0.001339669632830276,0.8531740070625681
pool3,index_days,increasing,0.001339669632830276,0.8531740070625681
pool7,index_days,increasing,0.001339669632830276,0.8531740070625681
refwmo,index_days,increasing,0.004575723489820938,0.49211047829037335
main,index_deficit,increasing,0.0025160002929569547,0.04516416219522802
pool3,index_deficit,increasing,0.0025160002929569547,0.04516416219522802
pool7,index_deficit,increasing,0.0025160002929569547,0.04516416219522802
refwmo,index_deficit,increasing,0.004150822876908711,0.02597066733684652
main,index_ssi,decreasing,0.036461268903084765,-0.031030911785454446
pool3,index_ssi,decreasing,0.036461268903084765,-0.031030911785454442
pool7,index_ssi,decreasing,0.036461268903084765,-0.031030911785454446
refwmo,index_ssi,decreasing,0.03932623938872615,-0.028773456459649186
main,station_max_spell_share_increasing,,,0.6128133704735376
main,station_max_spell_median_sen,,,0.5555555555555556
pool3,station_max_spell_share_increasing,,,0.6323119777158774
pool3,station_max_spell_median_sen,,,0.5
pool7,station_max_spell_share_increasing,,,0.6183844011142061
pool7,station_max_spell_median_sen,,,0.6153846153846154
