station_id,n_years,days_below_trend,days_below_p,days_below_sen,nm7q_trend,nm7q_p,nm7q_sen,min_year,days_below_p_fdr,nm7q_p_fdr
DESM_DEBB5530302,34,increasing,0.008060034025016538,0.8888888888888888,decreasing,0.005039645462999731,-0.012671428571428578,2020,0.017972374006092775,0.014473861769735228
DESM_DEBB5530500,34,increasing,0.006097139917784489,0.5,decreasing,0.012609903210569762,-0.048846153846153845,2022,0.014400481779504155,0.027107516482602064
DESM_DEBB5824700,34,no trend,0.5252517359771474,0.07142857142857142,no trend,0.6091300700836291,-0.010476190476190528,2019,0.5929728717477859,0.6687391289297334
DESM_DEBB5825500,34,no trend,0.10375550597046113,0.28,decreasing,0.03377610305998657,-0.06373626373626379,2006,0.14437297148602923,0.058296254800649906
DESM_DEBB5827000,34,no trend,0.09733721658459205,0.5151515151515151,decreasing,0.03932623938872615,-0.06841269841269842,2006,0.13703553236811195,0.06466485916112616
DESM_DEBB5860101,34,no trend,0.24200338923679654,0.0,no trend,0.34457761884916804,-0.0013831168831168826,2005,0.3069936987138161,0.41234455055617114
DESM_DEBB5860800,30,increasing,0.003643308280238511,1.2142857142857142,no trend,0.1594704970550871,-0.00010714285714285715,1992,0.009908694489436556,0.2097066243325138
DESM_DEBB5861600,34,increasing,0.008060034025016538,1.4375,decreasing,0.011550443264152666,-0.007639097744360903,2022,0.017972374006092775,0.025439319827182866
DESM_DEBB5871600,34,increasing,0.008060034025016538,0.5,decreasing,0.0105707340667196,-0.022467532467532483,2022,0.017972374006092775,0.02401831348071099
DESM_DEBB5873301,34,increasing,0.00011426780149759175,1.6785714285714286,decreasing,0.007350492972747258,-0.007103896103896102,2025,0.0007888873218776046,0.01969273863594228
DESM_DEBB5874601,34,increasing,0.0020465804405427335,0.75,no trend,0.14102919353281584,-0.0025428571428571436,2018,0.0061741376315532885,0.1910546433142675
DESM_DEBB5930500,34,no trend,0.05667450273392105,0.25,no trend,0.09733721658459205,-0.001809523809523809,2019,0.0884615064412072,0.13977624301547417
